"Scientific Name","Common Name","Where Listed","ESA Listing Status  ","Lead Region  ","Listing Date","Most Recently Completed 5YSR","5YSR Recommendation","Notice of In Progress 5YSR","Notice Date of In Progress 5YSR","Group"
"Partula langfordi","Snail, Langford's tree","<div>Wherever found</div>","E","1","2015","2020/08/07","No change in Status","<a target='_blank' href='https://www.govinfo.gov/link/fr/87/28031'>Initiation of 5- Year Status Reviews for 167 Species in Oregon Washington Idaho  Montana California Hawaii Guam and the Northern Mariana Islands: Request for Information</a","2022/05/10","Snails"
"Abutilon menziesii","Ko`oloa`ula","<div>Wherever found</div>","E","1","1986","2018/10/23","No change in Status","<a target='_blank' href='https://www.govinfo.gov/link/fr/86/33726'>Initiation of 5-Year Status Reviews for 77 Species in Oregon Washington Idaho and Hawaii; request for information</a","2021/06/25","Flowering Plants"
"Sternula antillarum","tern, Least","<div>interior pop.</div>","DM","4","1985","2013/10/24","Delist: The species does not meet the definition of an endangered species or a threatened species","No Five Year Review In Progress","","Birds"
"Cyrtandra subumbellata","Ha`iwale","<div>Wherever found</div>","E","1","1996","2019/09/25","No change in Status","<a target='_blank' href='https://www.govinfo.gov/link/fr/87/28031'>Initiation of 5- Year Status Reviews for 167 Species in Oregon Washington Idaho  Montana California Hawaii Guam and the Northern Mariana Islands: Request for Information</a","2022/05/10","Flowering Plants"
"Lysimachia daphnoides","lehua makanoe","<div>Wherever found</div>","E","1","2010","2022/08/05","No change in Status","No Five Year Review In Progress","","Flowering Plants"
"Justicia cooleyi","Water-willow, Cooley's","<div></div>","E","4","1989","2019/08/23","No change in Status","No Five Year Review In Progress","","Flowering Plants"
"Mucuna sloanei var. persericea","bean, sea","<div>Wherever found</div>","E","1","2013","2020/09/28","No change in Status","No Five Year Review In Progress","","Flowering Plants"
"Cyprinella caerulea","Shiner, blue","<div>Wherever found</div>","T","4","1992","2021/06/22","No change in Status","No Five Year Review In Progress","","Fishes"
"Eriogonum ovalifolium var. williamsiae","Buckwheat, steamboat","<div>Wherever found</div>","E","8","1986","2022/08/29","No change in Status","No Five Year Review In Progress","","Flowering Plants"
"Thomomys mazama yelmensis","Pocket gopher, Yelm","<div>Wherever found</div>","T","1","2014","2020/09/28","No change in Status","No Five Year Review In Progress","","Mammals"
"Corvus leucognaphalus","Crow, white-necked","<div>Wherever found</div>","E","4","1991","2022/08/31","No change in Status","No Five Year Review In Progress","","Birds"
"Plagiobothrys strictus","Allocarya, Calistoga","<div>Wherever found</div>","E","8","1997","2010/02/16","No change in Status","<a target='_blank' href='https://www.govinfo.gov/link/fr/87/5832'>Initiation of 5-Year Status Reviews of 40 Species in California Nevada and Oregon; request for information</a","2022/02/02","Flowering Plants"
"Helminthoglypta walkeriana","Snail, Morro shoulderband (=Banded dune)","<div>Wherever found</div>","T","8","1994","2020/07/24","Downlist to T","Reclassification of Morro Shoulderband Snail (Helminthoglypta walkeriana) From Endangered to Threatened With a 4(d) Rule; Proposed rule","2020/07/24","Snails"
"Isoetes tegetiformans","Quillwort, mat-forming","<div>Wherever found</div>","E","4","1988","2019/09/11","No change in Status","No Five Year Review In Progress","","Ferns and Allies"
"Orcuttia californica","Orcutt grass, California","<div>Wherever found</div>","E","8","1993","2011/03/11","No change in Status","Initiation of 5-Year Status Reviews of 76 Species in California and Nevada; request for information","2021/05/20","Flowering Plants"
"Thomomys mazama glacialis","Pocket gopher, Roy Prairie","<div>Wherever found</div>","T","1","2014","2020/09/28","No change in Status","No Five Year Review In Progress","","Mammals"
"Wikstroemia villosa","No common name","<div>Wherever found</div>","E","1","2013","2020/09/29","No change in Status","No Five Year Review In Progress","","Flowering Plants"
"Chorizanthe robusta var. hartwegii","spineflower, Scotts Valley","<div>Wherever found</div>","E","8","1994","2019/06/07","No change in Status","No Five Year Review In Progress","","Flowering Plants"
"Cyrtandra gracilis","Haiwale","<div>Wherever found</div>","E","1","2012","2019/08/30","No change in Status","<a target='_blank' href='https://www.govinfo.gov/link/fr/87/28031'>Initiation of 5- Year Status Reviews for 167 Species in Oregon Washington Idaho  Montana California Hawaii Guam and the Northern Mariana Islands: Request for Information</a","2022/05/10","Flowering Plants"
"Pteralyxia kauaiensis","Kaulu","<div>Wherever found</div>","E","1","1994","2022/08/09","No change in Status","No Five Year Review In Progress","","Flowering Plants"
"Peromyscus polionotus niveiventris","Mouse, southeastern beach","<div>wherever found</div>","T","4","1989","2019/10/11","No change in Status","No Five Year Review In Progress","","Mammals"
"Cyanea maritae","haha","<div>Wherever found</div>","E","1","2013","2020/09/29","No change in Status","No Five Year Review In Progress","","Flowering Plants"
"Geranium hillebrandii","Nohoanu","<div>Wherever found</div>","E","1","2013","2020/08/19","No change in Status","No Five Year Review In Progress","","Flowering Plants"
"Parvisedum leiocarpum","Stonecrop, Lake County","<div>Wherever found</div>","E","8","1997","2009/06/15","No change in Status","<a target='_blank' href='https://www.govinfo.gov/link/fr/87/5832'>Initiation of 5-Year Status Reviews of 40 Species in California Nevada and Oregon; request for information</a","2022/02/02","Flowering Plants"
"Panicum fauriei var. carteri","Panicgrass, Carter's","<div>Wherever found</div>","E","1","1983","2018/10/23","No change in Status","<a target='_blank' href='https://www.govinfo.gov/link/fr/86/33726'>Initiation of 5-Year Status Reviews for 77 Species in Oregon Washington Idaho and Hawaii; request for information</a","2021/06/25","Flowering Plants"
"Iris lacustris","Iris, dwarf lake","<div>Wherever found</div>","T","3","1988","2022/01/18","No change in Status","No Five Year Review In Progress","","Flowering Plants"
"Lemiox rimosus","Pearlymussel, birdwing","<div>Wherever found; Except where listed as Experimental Populations</div>","E","4","1976","2020/04/29","No change in Status","No Five Year Review In Progress","","Clams"
"Gaura neomexicana var. coloradensis","Butterfly plant, Colorado","<div>Wherever found</div>","DM","6","2000","2012/12/17","No change in Status","No Five Year Review In Progress","","Flowering Plants"
"Fremontodendron californicum ssp. decumbens","Flannelbush, Pine Hill","<div>Wherever found</div>","E","8","1996","2019/05/02","No change in Status","No Five Year Review In Progress","","Flowering Plants"
"Bidens wiebkei","Ko`oko`olau","<div>Wherever found</div>","E","1","1992","2018/10/23","No change in Status","<a target='_blank' href='https://www.govinfo.gov/link/fr/86/33726'>Initiation of 5-Year Status Reviews for 77 Species in Oregon Washington Idaho and Hawaii; request for information</a","2021/06/25","Flowering Plants"
"Astelia waialealae","Pa`iniu","<div>Wherever found</div>","E","1","2010","2022/07/27","No change in Status","No Five Year Review In Progress","","Flowering Plants"
"Strix occidentalis lucida","Owl, Mexican spotted","<div>Wherever found</div>","T","2","1993","2013/08/16","No change in Status","Endangered and Threatened Species: Initiation of 5-Year Status Reviews of 35 Species in the Southwest","2022/02/02","Birds"
"Labordia helleri","Kamakahala","<div>Wherever found</div>","E","1","2010","2022/08/05","No change in Status","No Five Year Review In Progress","","Flowering Plants"
"Argyroxiphium sandwicense ssp. macrocephalum","`Ahinahina","<div>Wherever found</div>","T","1","1992","2018/10/23","No change in Status","<a target='_blank' href='https://www.govinfo.gov/link/fr/86/33726'>Initiation of 5-Year Status Reviews for 77 Species in Oregon Washington Idaho and Hawaii; request for information</a","2021/06/25","Flowering Plants"
"Gambusia georgei","Gambusia, San Marcos","<div>Wherever found</div>","E","2","1980","2018/08/03","Delist: The species is extinct","Removal of 23 Extinct  Species From the Lists of Endangered and Threatened Wildlife and  Plants; Proposed Rule","2021/09/30","Fishes"
"Etheostoma moorei","Darter, yellowcheek","<div>Wherever found</div>","E","4","2011","2019/07/29","No change in Status","No Five Year Review In Progress","","Fishes"
"Anolis roosevelti","Anole, Culebra Island giant","<div>Wherever found</div>","E","4","1977","2023/03/31","Delist: The species is extinct","No Five Year Review In Progress","","Reptiles"
"Eriodictyon altissimum","mountainbalm, Indian Knob","<div>Wherever found</div>","E","8","1994","2019/03/22","No change in Status","No Five Year Review In Progress","","Flowering Plants"
"Coccyzus americanus","Cuckoo, yellow-billed","<div>Western U.S. DPS</div>","T","2","2014","2020/09/16","No change in Status","No Five Year Review In Progress","","Birds"
"Catostomus discobolus yarrowi","Sucker, Zuni bluehead","<div>Wherever found</div>","E","2","2014","2020/09/30","No change in Status","No Five Year Review In Progress","","Fishes"
"Maesa walkeri","No common name","<div>Wherever found</div>","T","1","2015","2020/12/15","No change in Status","No Five Year Review In Progress","","Flowering Plants"
"Rhodiola integrifolia ssp. leedyi","roseroot, Leedy's","<div>Wherever found</div>","T","3","1992","2021/05/21","No change in Status","No Five Year Review In Progress","","Flowering Plants"
"Somatochlora hineana","Dragonfly, Hine's emerald","<div>Wherever found</div>","E","3","1995","2019/04/30","No change in Status","No Five Year Review In Progress","","Insects"
"Cicindelidia floridana","Tiger beetle, Miami","<div>Wherever found</div>","E","4","2016","2022/08/04","No change in Status","No Five Year Review In Progress","","Insects"
"Cyanea copelandii ssp. haleakalaensis","Haha","<div>Wherever found</div>","E","1","1999","2018/10/23","No change in Status","<a target='_blank' href='https://www.govinfo.gov/link/fr/86/33726'>Initiation of 5-Year Status Reviews for 77 Species in Oregon Washington Idaho and Hawaii; request for information</a","2021/06/25","Flowering Plants"
"Nothocestrum latifolium","`Aiea","<div>Wherever found</div>","E","1","2016","2021/08/18","No change in Status","No Five Year Review In Progress","","Flowering Plants"
"Eucyclogobius newberryi","Goby, tidewater","<div>Wherever found</div>","E","8","1994","2014/03/13","Downlist to T","<a target='_blank' href='https://www.govinfo.gov/link/fr/83/28251?link-type=pdf'>Initiation of 5-Year Status Reviews of 50 Species in California Nevada and the Klamath Basin of Oregon</a","2018/06/18","Fishes"
"Cyprinella formosa","Shiner, beautiful","<div>Wherever found</div>","T","2","1984","2020/09/25","No change in Status","No Five Year Review In Progress","","Fishes"
"Euproserpinus euterpe","Moth, Kern primrose sphinx","<div>Wherever found</div>","T","8","1980","2020/07/20","No change in Status","No Five Year Review In Progress","","Insects"
"Stenogyne kanehoana","No common name","<div>Wherever found</div>","E","1","1992","2019/09/30","No change in Status","<a target='_blank' href='https://www.govinfo.gov/link/fr/87/28031'>Initiation of 5- Year Status Reviews for 167 Species in Oregon Washington Idaho  Montana California Hawaii Guam and the Northern Mariana Islands: Request for Information</a","2022/05/10","Flowering Plants"
"Dryopteris crinalis var. podosorus","aumakua, Palapalai","<div>Wherever found</div>","E","1","2010","2022/07/29","No change in Status","No Five Year Review In Progress","","Ferns and Allies"
"Lesquerella lyrata","Bladderpod, lyrate","<div>Wherever found</div>","T","4","1990","2019/09/26","No change in Status","No Five Year Review In Progress","","Flowering Plants"
"Liatris ohlingerae","Blazingstar, scrub","<div></div>","E","4","1989","2021/09/27","No change in Status","No Five Year Review In Progress","","Flowering Plants"
"Etheostoma chienense","Darter, relict","<div>Wherever found</div>","E","4","1993","2019/08/30","Downlist to T","Endangered and Threatened Wildlife and Plants; Reclassification of the Relict Darter From Endangered to Threatened With a Section 4(d) Rule","2022/03/03","Fishes"
"Puma yagouaroundi cacomitli","Jaguarundi, Gulf Coast","<div>Wherever found</div>","E","2","1976","2018/07/24","No change in Status","No Five Year Review In Progress","","Mammals"
"Lindera melissifolia","Pondberry","<div>Wherever found</div>","E","4","1986","2021/10/27","No change in Status","No Five Year Review In Progress","","Flowering Plants"
"Streptocephalus woottoni","Fairy shrimp, Riverside","<div>Wherever found</div>","E","8","1993","2021/08/31","No change in Status","No Five Year Review In Progress","","Crustaceans"
"Drosophila hemipeza","fly, Hawaiian picture-wing","<div>Wherever found</div>","E","1","2006","2019/05/20","No change in Status","<a target='_blank' href='https://www.govinfo.gov/link/fr/87/28031'>Initiation of 5- Year Status Reviews for 167 Species in Oregon Washington Idaho  Montana California Hawaii Guam and the Northern Mariana Islands: Request for Information</a","2022/05/10","Insects"
"Isodendrion longifolium","Aupaka","<div>Wherever found</div>","T","1","1996","2019/02/07","Uplist to E","No Five Year Review In Progress","","Flowering Plants"
"Cyanea rivularis","Haha","<div>Wherever found</div>","E","1","1996","2022/07/27","No change in Status","No Five Year Review In Progress","","Flowering Plants"
"Pritchardia bakeri","loulu","<div>Wherever found</div>","E","1","2016","2021/08/23","No change in Status","No Five Year Review In Progress","","Flowering Plants"
"Speyeria zerene myrtleae","Butterfly, Myrtle's silverspot","<div>Wherever found</div>","E","8","1992","2021/03/22","No change in Status","No Five Year Review In Progress","","Insects"
"Cyathea dryopteroides","Fern, Elfin tree","<div>Wherever found</div>","E","4","1987","2019/07/25","No change in Status","No Five Year Review In Progress","","Ferns and Allies"
"Lasthenia burkei","Goldfields, Burke's","<div>Wherever found</div>","E","8","1991","2019/05/02","No change in Status","No Five Year Review In Progress","","Flowering Plants"
"Cirsium hydrophilum var. hydrophilum","Thistle, Suisun","<div>Wherever found</div>","E","8","1997","2021/09/08","No change in Status","No Five Year Review In Progress","","Flowering Plants"
"Lirceus usdagalun","Isopod, Lee County cave","<div>Wherever found</div>","E","5","1992","2021/08/03","Downlist to T","No Five Year Review In Progress","","Crustaceans"
"Phyllostegia kaalaensis","No common name","<div>Wherever found</div>","E","1","1996","2019/09/30","No change in Status","<a target='_blank' href='https://www.govinfo.gov/link/fr/87/28031'>Initiation of 5- Year Status Reviews for 167 Species in Oregon Washington Idaho  Montana California Hawaii Guam and the Northern Mariana Islands: Request for Information</a","2022/05/10","Flowering Plants"
"Jacquemontia reclinata","Jacquemontia, beach","<div></div>","E","4","1993","2021/06/25","No change in Status","No Five Year Review In Progress","","Flowering Plants"
"Schiedea trinervis","No common name","<div>Wherever found</div>","E","1","1991","2019/09/30","No change in Status","<a target='_blank' href='https://www.govinfo.gov/link/fr/87/28031'>Initiation of 5- Year Status Reviews for 167 Species in Oregon Washington Idaho  Montana California Hawaii Guam and the Northern Mariana Islands: Request for Information</a","2022/05/10","Flowering Plants"
"Tuctoria mucronata","Grass, Solano","<div>Wherever found</div>","E","8","1978","2009/04/01","No change in Status","<a target='_blank' href='https://www.govinfo.gov/link/fr/87/5832'>Initiation of 5-Year Status Reviews of 40 Species in California Nevada and Oregon; request for information</a","2022/02/02","Flowering Plants"
"Neraudia angulata","No common name","<div>Wherever found</div>","E","1","1991","2019/09/30","No change in Status","<a target='_blank' href='https://www.govinfo.gov/link/fr/87/28031'>Initiation of 5- Year Status Reviews for 167 Species in Oregon Washington Idaho  Montana California Hawaii Guam and the Northern Mariana Islands: Request for Information</a","2022/05/10","Flowering Plants"
"Cupressus abramsiana","Cypress, Santa Cruz","<div>Wherever found</div>","T","8","1987","2022/03/03","No change in Status","No Five Year Review In Progress","","Conifers and Cycads"
"Ambystoma mavortium stebbinsi","Salamander, Sonoran tiger","<div>Wherever found</div>","E","2","1997","2007/10/04","No change in Status","Endangered and Threatened Species: Initiation of 5-Year Status Reviews of 35 Species in the Southwest","2022/02/02","Amphibians"
"Erysimum teretifolium","Wallflower, Ben Lomond","<div>Wherever found</div>","E","8","1994","2022/08/23","No change in Status","No Five Year Review In Progress","","Flowering Plants"
"Hesperia leonardus montana","Skipper, Pawnee montane","<div>Wherever found</div>","T","6","1987","2020/08/26","No change in Status","Endangered and Threatened Wildlife and Plants; Initiation of 5-Year Status Reviews of 27 Listed Species in the Mountain-Prairie Region","2023/03/13","Insects"
"Polyscias bisattenuata","No common name","<div>Wherever found</div>","E","1","2010","2022/08/08","No change in Status","No Five Year Review In Progress","","Flowering Plants"
"Gouania vitifolia","No common name","<div>Wherever found</div>","E","1","1994","2020/09/29","No change in Status","<a target='_blank' href='https://www.govinfo.gov/link/fr/87/28031'>Initiation of 5- Year Status Reviews for 167 Species in Oregon Washington Idaho  Montana California Hawaii Guam and the Northern Mariana Islands: Request for Information</a","2022/05/10","Flowering Plants"
"Hypericum cumulicola","Hypericum, highlands scrub","<div></div>","E","4","1987","2021/03/15","No change in Status","No Five Year Review In Progress","","Flowering Plants"
"Valvata utahensis","Snail, Utah valvata","<div>Wherever found</div>","DP","1","1992","2009/07/13","Delist: The listed entity does not meet the statutory definition of a species","No Five Year Review In Progress","","Snails"
"Himantopus mexicanus knudseni","Stilt, Hawaiian","<div>Wherever found</div>","E","1","1970","2020/03/19","Downlist to T","Reclassification of the Hawaiian Stilt From Endangered to Threatened With a Section 4(d) Rule","2021/03/25","Birds"
"Sidalcea oregana ssp. valida","Checker-mallow, Kenwood Marsh","<div>Wherever found</div>","E","8","1997","2019/05/02","No change in Status","No Five Year Review In Progress","","Flowering Plants"
"Peromyscus polionotus phasma","Mouse, Anastasia Island beach","<div>Wherever found</div>","E","4","1989","2019/06/24","No change in Status","No Five Year Review In Progress","","Mammals"
"Solanum incompletum","Popolo ku mai","<div>Wherever found</div>","E","1","1994","2020/09/28","No change in Status","No Five Year Review In Progress","","Flowering Plants"
"Pteralyxia macrocarpa","Kaulu","<div>Wherever found</div>","E","1","2012","2019/08/30","No change in Status","<a target='_blank' href='https://www.govinfo.gov/link/fr/87/28031'>Initiation of 5- Year Status Reviews for 167 Species in Oregon Washington Idaho  Montana California Hawaii Guam and the Northern Mariana Islands: Request for Information</a","2022/05/10","Flowering Plants"
"Eriogonum codium","Desert buckwheat, Umtanum","<div>Wherever found</div>","T","1","2013","2021/09/08","No change in Status","No Five Year Review In Progress","","Flowering Plants"
"Pleomele hawaiiensis","Hala pepe","<div>Wherever found</div>","E","1","1996","2020/09/29","No change in Status","No Five Year Review In Progress","","Flowering Plants"
"Hemignathus hanapepe","nukupuu, Kauai","<div>Wherever found</div>","E","1","1967","2019/03/28","Delist: The species is extinct","Removal of 23 Extinct  Species From the Lists of Endangered and Threatened Wildlife and  Plants; Proposed Rule","2021/09/30","Birds"
"Schiedea hookeri","No common name","<div>Wherever found</div>","E","1","1996","2018/10/23","No change in Status","<a target='_blank' href='https://www.govinfo.gov/link/fr/86/33726'>Initiation of 5-Year Status Reviews for 77 Species in Oregon Washington Idaho and Hawaii; request for information</a","2021/06/25","Flowering Plants"
"Gardenia brighamii","Gardenia (=Na`u), Hawaiian","<div>Wherever found</div>","E","1","1985","2021/08/25","No change in Status","No Five Year Review In Progress","","Flowering Plants"
"Schiedea spergulina var. spergulina","No common name","<div>Wherever found</div>","T","1","1994","2022/08/10","No change in Status","No Five Year Review In Progress","","Flowering Plants"
"Hypolepis hawaiiensis var. mauiensis","olua","<div>Wherever found</div>","E","1","2016","2021/08/31","No change in Status","No Five Year Review In Progress","","Ferns and Allies"
"Hemignathus affinis","nukupuu, Maui","<div>Wherever found</div>","E","1","1970","2018/07/30","Delist: The species is extinct","Removal of 23 Extinct  Species From the Lists of Endangered and Threatened Wildlife and  Plants; Proposed Rule","2021/09/30","Birds"
"Etheostoma boschungi","Darter, slackwater","<div>Wherever found</div>","T","4","1977","2008/06/24","No change in Status","5-Year Status Reviews for 35 Southeastern Species","2018/05/07","Fishes"
"Texella reddelli","Harvestman, Bee Creek Cave","<div>Wherever found</div>","E","2","1988","2018/07/06","No change in Status","No Five Year Review In Progress","","Arachnids"
"Delissea undulata","No common name","<div>Wherever found</div>","E","1","1996","2020/09/30","No change in Status","<a target='_blank' href='https://www.govinfo.gov/link/fr/87/28031'>Initiation of 5- Year Status Reviews for 167 Species in Oregon Washington Idaho  Montana California Hawaii Guam and the Northern Mariana Islands: Request for Information</a","2022/05/10","Flowering Plants"
"Galium buxifolium","Bedstraw, island","<div>Wherever found</div>","E","8","1997","2022/12/01","Delist: The species does not meet the definition of an endangered species or a threatened species","No Five Year Review In Progress","","Flowering Plants"
"Dicerandra frutescens","Mint, scrub","<div></div>","E","4","1985","2021/01/15","No change in Status","No Five Year Review In Progress","","Flowering Plants"
"Epioblasma torulosa torulosa","Blossom, tubercled (pearlymussel)","<div>Wherever found; Except where listed as Experimental Populations</div>","E","4","1976","2017/09/01","Delist: The species is extinct","Removal of 23 Extinct  Species From the Lists of Endangered and Threatened Wildlife and  Plants; Proposed Rule","2021/09/30","Clams"
"Platanthera integrilabia","Orchid, white fringeless","<div></div>","T","4","2016","2022/08/26","No change in Status","No Five Year Review In Progress","","Flowering Plants"
"Chelonia mydas","Sea turtle, green","<div>FL, Mexico nesting pops.</div>","RT","4","1978","2007/08/22","No change in Status","No Five Year Review In Progress","","Reptiles"
"Trimerotropis infantilis","Grasshopper, Zayante band-winged","<div>Wherever found</div>","E","8","1997","2021/04/26","No change in Status","No Five Year Review In Progress","","Insects"
"Galactia smallii","Milkpea, Small's","<div></div>","E","4","1985","2010/07/15","No change in Status","5-Year Status Reviews of 22 Southeastern Species","2017/06/30","Flowering Plants"
"Sclerocactus mesae-verdae","Cactus, Mesa Verde","<div>Wherever found</div>","T","2","1979","2010/11/10","No change in Status","Endangered and Threatened Species: Initiation of 5-Year Status Reviews of 35 Species in the Southwest","2022/02/02","Flowering Plants"
"Echinocereus chisoensis var. chisoensis","Cactus, Chisos Mountain hedgehog","<div>Wherever found</div>","T","2","1988","2018/07/06","No change in Status","No Five Year Review In Progress","","Flowering Plants"
"Cyanea stictophylla","Haha","<div>Wherever found</div>","E","1","1994","2020/09/29","No change in Status","No Five Year Review In Progress","","Flowering Plants"
"Rallus owstoni","Rail, Guam","<div>Wherever found, except where listed as an experimental population</div>","E","1","1984","2020/12/02","No change in Status","No Five Year Review In Progress","","Birds"
"Cyrtandra waiolani","Haiwale","<div>Wherever found</div>","E","1","2012","2019/08/30","No change in Status","<a target='_blank' href='https://www.govinfo.gov/link/fr/87/28031'>Initiation of 5- Year Status Reviews for 167 Species in Oregon Washington Idaho  Montana California Hawaii Guam and the Northern Mariana Islands: Request for Information</a","2022/05/10","Flowering Plants"
"Acmispon dendroideus var. traskiae","lotus, San Clemente Island","<div>Wherever found</div>","DM","8","1977","2023/01/25","Delist: The species does not meet the definition of an endangered species or a threatened species","No Five Year Review In Progress","","Flowering Plants"
"Bonamia menziesii","No common name","<div>Wherever found</div>","E","1","1994","2021/08/31","No change in Status","No Five Year Review In Progress","","Flowering Plants"
"Aerodramus vanikorensis bartschi","Swiftlet, Mariana gray","<div>Wherever found</div>","E","1","1984","2020/09/29","No change in Status","No Five Year Review In Progress","","Birds"
"Epioblasma obliquata","Purple Cat''s paw (=Purple Cat''s paw pearlymussel)","<div>Wherever found; Except where listed as Experimental Populations</div>","E","3","1990","2020/04/21","No change in Status","No Five Year Review In Progress","","Clams"
"Echinocereus fendleri var. kuenzleri","Cactus, Kuenzler hedgehog","<div>Wherever found</div>","T","2","1979","2018/05/11","Downlist to T","No Five Year Review In Progress","","Flowering Plants"
"Prunus geniculata","Plum, scrub","<div></div>","E","4","1987","2017/12/21","No change in Status","Initiation of 5- Year Status Reviews for 35 Southeastern Species; Request for Information","2022/05/13","Flowering Plants"
"Partula gibba","Snail, Humped tree","<div>Wherever found</div>","E","1","2015","2020/08/07","No change in Status","<a target='_blank' href='https://www.govinfo.gov/link/fr/87/28031'>Initiation of 5- Year Status Reviews for 167 Species in Oregon Washington Idaho  Montana California Hawaii Guam and the Northern Mariana Islands: Request for Information</a","2022/05/10","Snails"
"Melicope munroi","Alani","<div>Wherever found</div>","E","1","1999","2018/10/23","No change in Status","<a target='_blank' href='https://www.govinfo.gov/link/fr/86/33726'>Initiation of 5-Year Status Reviews for 77 Species in Oregon Washington Idaho and Hawaii; request for information</a","2021/06/25","Flowering Plants"
"Cyanea remyi","Haha","<div>Wherever found</div>","E","1","1996","2022/07/27","No change in Status","No Five Year Review In Progress","","Flowering Plants"
"Lomatium bradshawii","lomatium, Bradshaw''s","<div>Wherever found</div>","DM","1","1988","2017/11/27","Delist: The species does not meet the definition of an endangered species or a threatened species","No Five Year Review In Progress","","Flowering Plants"
"Chasiempis ibidis","elepaio, Oahu","<div>Wherever found</div>","E","1","2000","2019/09/30","No change in Status","<a target='_blank' href='https://www.govinfo.gov/link/fr/87/28031'>Initiation of 5- Year Status Reviews for 167 Species in Oregon Washington Idaho  Montana California Hawaii Guam and the Northern Mariana Islands: Request for Information</a","2022/05/10","Birds"
"Schwalbea americana","Chaffseed, American","<div>Wherever found</div>","E","4","1992","2019/06/27","No change in Status","No Five Year Review In Progress","","Flowering Plants"
"Gymnoderma lineare","Lichen, rock gnome","<div>Wherever found</div>","E","4","1995","2020/08/27","No change in Status","No Five Year Review In Progress","","Lichens"
"Cyrtandra viridiflora","Ha`iwale","<div>Wherever found</div>","E","1","1996","2019/09/25","No change in Status","<a target='_blank' href='https://www.govinfo.gov/link/fr/87/28031'>Initiation of 5- Year Status Reviews for 167 Species in Oregon Washington Idaho  Montana California Hawaii Guam and the Northern Mariana Islands: Request for Information</a","2022/05/10","Flowering Plants"
"Sarracenia oreophila","Pitcher-plant, green","<div>Wherever found</div>","E","4","1979","2020/09/24","No change in Status","No Five Year Review In Progress","","Flowering Plants"
"Dipodomys nitratoides exilis","Kangaroo rat, Fresno","<div>Wherever found</div>","E","8","1985","2020/06/19","No change in Status","No Five Year Review In Progress","","Mammals"
"Cyperus fauriei","No common name","<div>Wherever found</div>","E","1","1994","2020/09/30","No change in Status","No Five Year Review In Progress","","Flowering Plants"
"Odocoileus virginianus leucurus","Deer, Columbian white-tailed","<div>Columbia River DPS</div>","T","1","1967","2016/10/17","Downlist to T","<a target='_blank' href='https://www.govinfo.gov/link/fr/86/33726'>Initiation of 5-Year Status Reviews for 77 Species in Oregon Washington Idaho and Hawaii; request for information</a","2021/06/25","Mammals"
"Nothocestrum breviflorum","`Aiea","<div>Wherever found</div>","E","1","1994","2020/09/28","No change in Status","No Five Year Review In Progress","","Flowering Plants"
"Cryptantha crassipes","Cat's-eye, Terlingua Creek","<div>Wherever found</div>","E","2","1991","2020/05/28","No change in Status","No Five Year Review In Progress","","Flowering Plants"
