"address","lat","long"
"""Utica , MO""",39.7436,-93.6266
"""Santa Monica , CA""",34.0195,-118.4912
"""Laramie , WY""",41.3114,-105.5911
"""Lagrange , WY""",35.0921,-79.011
"""Brainard , NE""",41.1843,-97.0024
"""Humboldt , AZ""",34.501,-112.2392
"""Corona , CA""",33.8753,-117.5664
"""Yellowstone National Park , WY""",44.6201,-110.5607
"""Shedd , OR""",44.4615,-123.1104
"""Independence , MO""",39.0925,-94.4138
"""Paradise Valley , AZ""",33.5428,-111.9556
"""Camden , MO""",38.0323,-92.7638
"""San Diego , CA""",32.7174,-117.1628
"""Kissee Mills , MO""",36.6837,-93.0499
"""Espanola , NM""",35.9911,-106.0808
"""Campbell , NE""",40.2983,-98.732
"""Indian Wells , CA""",33.7218,-116.3383
"""Mountain Center , CA""",33.7152,-116.725
"""Helm , CA""",36.5316,-120.0982
"""Lowell , OR""",43.9185,-122.7837
"""Lamy , NM""",35.4807,-105.8802
"""Hatch , UT""",37.6497,-112.4344
"""Oakland , CA""",37.8045,-122.2714
"""Parker Dam , CA""",34.2872,-114.143
"""Rocky Mount , MO""",38.3277,-92.6693
"""Moriarty , NM""",34.9972,-106.0495
"""Hooper , NE""",41.6117,-96.5477
"""Cascade Locks , OR""",45.6695,-121.8904
"""Vinton , CA""",37.3823,-120.6185
"""Roseland , NE""",40.4713,-98.5589
"""Lake Oswego , OR""",45.4207,-122.6706
"""Parker , CO""",33.0556,-96.6221
"""Colton , WA""",46.5679,-117.1283
"""Kirtland Afb , NM""",35.0056,-106.468
"""Riverton , WY""",43.0247,-108.3807
"""Sacramento , CA""",38.5811,-121.4939
"""Sun City , CA""",33.701,-117.2028
"""Jelm , WY""",41.0578,-106.0133
"""Meredith , CO""",43.6579,-71.5004
"""Luray , MO""",40.4531,-91.8818
"""Smith River , CA""",41.9282,-124.147
"""Superior , AZ""",33.2939,-111.0962
"""Red River , NM""",36.7021,-105.3957
"""Arvada , CO""",39.8006,-105.0812
"""Bay City , OR""",45.5226,-123.8893
"""Sutherland , NE""",41.1571,-101.1262
"""Owensville , MO""",38.3456,-91.5015
"""Altonah , UT""",40.4013,-110.2938
"""Pueblo , CO""",38.2544,-104.6091
"""Issaquah , WA""",47.5349,-122.0433
"""Saint Louis , MO""",38.632,-90.2429
"""Wheaton , MO""",36.7628,-94.056
"""Palmdale , CA""",34.5793,-118.1171
"""Burbank , WA""",46.201,-119.0134
"""Jordan Valley , OR""",42.9752,-117.0551
"""Newberg , OR""",45.3003,-122.9728
"""American Fork , UT""",40.3768,-111.7959
"""Stayton , OR""",44.8007,-122.7945
"""Napa , CA""",38.2971,-122.2855
"""Norwalk , CA""",33.9093,-118.0849
"""Sprague , NE""",40.6258,-96.7447
"""Crownpoint , NM""",35.6873,-108.1443
"""Claremont , CA""",34.0967,-117.7198
"""Nelson , NE""",40.9453,-96.7917
"""Brashear , MO""",40.1489,-92.3791
"""Tekoa , WA""",47.2234,-117.0709
"""Red Cliff , CO""",46.852,-90.7903
"""Omaha , NE""",41.2587,-95.9384
"""Arnold , MO""",38.4227,-90.3758
"""Odessa , MO""",38.9996,-93.954
"""Woods Cross , UT""",40.8717,-111.8926
"""Broomfield , CO""",39.9404,-105.0521
"""Unionville , MO""",40.477,-93.0033
"""Carroll , NE""",42.2768,-97.1893
"""Manley , NE""",40.9197,-96.1661
"""Matthews , MO""",36.7592,-89.5867
"""Syracuse , MO""",38.67,-92.8733
"""Ruidoso , NM""",33.3316,-105.6731
"""Howells , NE""",41.725,-97.0028
"""Ashford , WA""",46.7589,-122.0316
"""Huslia , AK""",65.7007,-156.3953
"""Port Costa , CA""",38.0448,-122.1844
"""Kirk , CO""",32.6484,-115.9954
"""Monitor , WA""",47.4869,-120.4193
"""Williamsburg , MO""",33.1163,-107.2934
"""Aurora , CO""",41.7572,-88.3148
"""Clarksville , MO""",39.3706,-90.9051
"""Scotts Mills , OR""",45.0433,-122.6681
"""Wendel , CA""",40.3482,-120.2335
"""Loving , NM""",32.2862,-104.0958
"""Los Angeles , CA""",34.0537,-118.2428
"""Vancouver , WA""",45.6307,-122.6745
"""Spirit Lake , ID""",47.9663,-116.8685
"""Vacaville , CA""",38.3566,-121.9877
"""La Grande , OR""",45.3246,-118.0879
"""Hubbell , NE""",40.0083,-97.4976
"""Mesa , AZ""",33.4151,-111.8315
"""Kaktovik , AK""",70.1263,-143.6134
"""Coulee Dam , WA""",47.9664,-118.9759
"""Downey , CA""",33.9404,-118.1293
"""Wappapello , MO""",36.9356,-90.2709
"""Seattle , WA""",47.6038,-122.3301
"""Pleasant Hill , MO""",38.7942,-94.2477
"""Buellton , CA""",34.6135,-120.1937
"""Angwin , CA""",38.5784,-122.4487
"""Kirtland , NM""",36.7425,-108.3553
"""Seligman , MO""",36.5208,-93.9391
"""Craig , AK""",55.4764,-133.1483
